City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
tevriz,57.509,72.4042,18.5,93,100,6.89,RU,1615823947
minsk,53.9,27.5667,41.0,52,0,4.47,BY,1615823947
ushuaia,-54.8,-68.3,44.6,81,40,37.98,AR,1615823750
ribeira grande,42.7461,-8.4439,70.0,48,20,8.05,ES,1615823948
san vicente,13.3034,-4.8956,99.41,10,0,10.02,ML,1615823948
cape town,-36.413,-71.9028,57.2,100,90,8.05,CL,1615823948
vaini,-21.2,-175.2,73.4,94,75,1.14,TO,1615823949
korla,41.7597,86.1469,49.41,37,0,22.15,CN,1615823949
macenta,8.5435,-9.471,97.79,21,7,2.53,GN,1615823788
beyneu,45.3167,55.2,32.22,50,0,13.0,KZ,1615823949
bredasdorp,-34.5322,20.0403,69.8,60,91,8.05,ZA,1615823950
kalmunai,7.4167,81.8167,79.12,79,0,6.17,LK,1615823950
nizhniy odes,45.3926,39.2364,53.6,54,20,15.66,RU,1615823950
maba,24.6841,113.5984,69.82,78,35,2.44,CN,1615823951
hay river,52.0705,-3.1274,55.99,67,35,14.61,GB,1615823951
leh,34.1667,77.5833,26.24,43,45,3.62,IN,1615823901
khorixas,-20.3667,14.9667,82.54,44,96,6.29,NA,1615823952
brae,60.3964,-1.353,42.8,70,40,9.22,GB,1615823952
olafsvik,64.8945,-23.7142,39.34,89,100,22.57,IS,1615823952
kahului,20.8947,-156.47,66.0,77,1,5.82,US,1615823953
kamaishi,39.2667,141.8833,40.93,67,0,9.46,JP,1615823953
mercedes,-34.6515,-59.4307,80.01,51,86,1.99,AR,1615823953
hilo,19.7297,-155.09,66.0,88,1,4.61,US,1615823954
cheyenne,41.14,-104.8203,21.0,93,90,6.91,US,1615823677
vanimo,-2.6741,141.3028,78.17,87,100,4.16,PG,1615823954
shakhtinsk,49.71,72.5872,-9.4,70,0,4.47,KZ,1615823954
sorland,67.667,12.6934,37.4,65,20,4.61,NO,1615823955
albany,42.6001,-73.9662,24.01,27,0,4.0,US,1615823953
beringovskiy,63.05,179.3167,-6.09,81,54,8.34,RU,1615823955
half moon bay,6.3807,-10.6953,82.4,78,75,4.61,LR,1615823956
nikolskoye,59.7035,30.7861,35.6,87,90,11.18,RU,1615823956
san ciro de acosta,13.3034,-4.8956,99.41,10,0,10.02,ML,1615823948
saskylakh,71.9167,114.0833,-24.12,94,100,3.62,RU,1615823956
kaitangata,-46.2817,169.8464,53.01,79,72,17.0,NZ,1615823957
tasiilaq,65.6145,-37.6368,30.2,93,90,52.93,GL,1615823957
ostrovnoy,68.0531,39.5131,24.67,94,100,1.66,RU,1615823957
ifo,6.8144,3.1958,90.82,53,50,8.9,NG,1615823958
hovd,48.0056,91.6419,20.25,51,51,1.28,MN,1615823958
new norfolk,6.6518,-10.5932,82.4,78,75,4.61,LR,1615823958
ketchikan,55.3422,-131.6461,33.8,93,90,19.57,US,1615823959
lebu,-37.6167,-73.65,58.59,80,100,4.32,CL,1615823959
tanout,14.9709,8.8879,98.83,8,3,7.0,NE,1615823959
cotonou,6.3654,2.4183,87.8,70,20,13.8,BJ,1615823960
mezen,65.8522,44.24,27.61,96,100,3.4,RU,1615823960
richards bay,46.8361,-95.9123,30.0,59,90,12.66,US,1615823960
atuona,-9.8,-139.0333,79.3,73,62,15.17,PF,1615823961
aklavik,68.2191,-135.0107,-13.0,77,100,4.61,CA,1615823961
saint-georges,12.0564,-61.7485,84.2,70,40,20.71,GD,1615823961
krasnyy yar,54.5678,31.4333,32.54,86,86,2.89,RU,1615823962
pangnirtung,66.1451,-65.7125,-23.8,76,1,5.75,CA,1615823962
necochea,-38.5473,-58.7368,80.4,41,78,8.88,AR,1615823962
kerman,30.2832,57.0788,62.6,20,0,9.22,IR,1615823963
avarua,-21.2078,-159.775,71.6,100,40,3.44,CK,1615823963
port alfred,-7.0349,29.7638,78.4,68,0,2.1,CD,1615823963
sovetskaya gavan,44.7769,41.1722,34.02,86,98,18.07,RU,1615823964
caravelas,-17.7125,-39.2481,85.78,55,29,8.77,BR,1615823964
castro,-24.7911,-50.0119,78.46,64,27,2.35,BR,1615823964
san cristobal,13.3034,-4.8956,99.41,10,0,10.02,ML,1615823965
nadym,65.5333,72.5167,15.85,95,100,7.23,RU,1615823965
axim,4.8699,-2.2405,85.6,64,36,9.75,GH,1615823965
nuuk,64.1835,-51.7216,26.6,68,75,4.61,GL,1615823966
tuktoyaktuk,69.4541,-133.0374,-11.2,84,90,16.11,CA,1615823966
whitehorse,60.7161,-135.0538,5.0,72,75,16.11,CA,1615823919
olinda,-8.0089,-34.8553,82.4,57,40,13.8,BR,1615823966
benghazi,32.1167,20.0667,61.05,63,21,22.82,LY,1615823967
muros,42.7762,-9.0603,70.0,48,20,8.05,ES,1615823967
skelleftea,64.7507,20.9528,37.4,70,0,4.61,SE,1615823967
banda aceh,25.4833,80.3333,80.44,20,44,5.1,IN,1615823968
kiunga,-6.1219,141.2906,73.33,99,100,1.23,PG,1615823968
bethel,41.3712,-73.414,24.8,24,1,16.11,US,1615823968
bireun,5.203,96.7009,79.48,80,95,3.13,ID,1615823969
mys shmidta,62.0589,48.6201,31.48,97,100,6.2,RU,1615823969
yeppoon,-23.1333,150.7333,75.2,88,90,13.6,AU,1615823969
mar del plata,43.4002,-4.0094,57.99,62,20,5.75,ES,1615823970
waddan,29.1614,16.139,67.62,29,0,16.33,LY,1615823970
fairbanks,64.8378,-147.7164,-2.2,71,90,3.44,US,1615823728
alugan,12.2188,125.4808,79.84,88,8,9.33,PH,1615823970
dunedin,-45.8742,170.5036,55.99,90,68,1.99,NZ,1615823971
yashkul,46.1711,45.3435,38.19,68,100,20.42,RU,1615823971
port keats,-7.0349,29.7638,78.4,68,0,2.1,CD,1615823972
cockburn town,-32.0833,141.0,60.8,41,0,10.36,AU,1615823972
birin,26.8865,88.0718,58.06,46,0,5.03,NP,1615823972
souillac,-20.5167,57.5167,78.8,89,40,8.05,MU,1615823973
saint-augustin,51.226,-58.6502,8.98,82,45,12.73,CA,1615823973
zandvoort,52.3749,4.5341,46.99,81,40,24.16,NL,1615823973
podporozhye,60.9112,34.1706,33.22,98,100,5.57,RU,1615823974
arman,59.7,150.1667,14.81,75,100,5.06,RU,1615823974
mirnyy,62.5353,113.9611,9.86,89,98,11.5,RU,1615823974
anito,12.4497,125.2886,77.45,91,54,7.29,PH,1615823975
east london,65.0,-15.0,30.2,80,75,9.22,IS,1615823975
kapoeta,4.7717,33.5903,83.62,48,46,23.62,SS,1615823975
lata,40.1629,-8.3327,73.0,57,7,1.99,PT,1615823976
torbay,47.6666,-52.7314,30.99,59,75,8.05,CA,1615823976
leningradskiy,69.3833,178.4167,-7.53,90,99,3.36,RU,1615823976
dikson,73.5069,80.5464,-25.22,99,100,8.16,RU,1615823977
aquiraz,-3.9014,-38.3911,84.2,74,75,12.66,BR,1615823977
comodoro rivadavia,-13.6631,-59.7858,78.57,85,94,4.16,BR,1615823977
payo,-3.7508,103.6372,74.52,97,98,1.88,ID,1615823978
airai,-8.9266,125.4092,60.76,95,67,0.36,TL,1615823978
vila franca do campo,42.0304,-8.1588,68.0,35,33,11.99,PT,1615823978
katherine,-14.4667,132.2667,78.8,78,40,6.91,AU,1615823979
isangel,-19.55,169.2667,73.4,94,20,5.5,VU,1615823979
vila velha,42.0304,-8.1588,68.0,35,33,11.99,PT,1615823980
esperance,-33.8667,121.9,59.0,82,0,9.22,AU,1615823980
pilot butte,40.8183,-114.2345,37.4,65,1,5.75,US,1615823980
sarkand,45.41,79.9186,17.94,85,100,2.1,KZ,1615823715
kuusamo,65.9667,29.1833,30.2,80,90,1.14,FI,1615823981
camacha,33.0833,-16.3333,64.4,72,40,16.11,PT,1615823981
norman wells,35.2226,-97.4395,59.0,47,1,13.8,US,1615823856
lamar,33.6668,-95.5836,61.0,76,1,10.36,US,1615823982
qaqortoq,60.7167,-46.0333,41.0,33,75,27.63,GL,1615823982
toamasina,-18.1667,49.3833,80.6,83,40,5.75,MG,1615823982
klaksvik,62.2266,-6.589,41.0,87,75,8.05,FO,1615823982
kodiak,57.79,-152.4072,26.6,74,20,5.75,US,1615823983
havre-saint-pierre,50.2334,-63.5986,5.0,39,1,17.27,CA,1615823983
grindavik,63.8424,-22.4338,42.8,87,75,37.98,IS,1615823983
halifax,44.6453,-63.5724,19.4,49,75,16.11,CA,1615823731
colatina,-19.5394,-40.6306,77.0,71,24,4.12,BR,1615823984
longyearbyen,78.2186,15.6401,-4.0,77,40,10.36,SJ,1615823984
chuy,-33.6971,-53.4616,76.82,59,6,9.95,UY,1615823984
glenwood springs,41.5425,-87.6023,34.0,40,90,19.57,US,1615823985
arlit,18.7369,7.3853,96.89,4,65,4.7,NE,1615823985
goderich,43.7501,-81.7165,26.6,39,0,12.66,CA,1615823985
amudat,1.95,34.95,82.26,32,95,14.0,UG,1615823986
katsuura,35.1333,140.3,53.6,32,0,2.3,JP,1615823986
coquimbo,-29.9533,-71.3436,62.6,72,90,8.05,CL,1615823986
nemuro,43.3236,145.575,32.94,82,69,17.87,JP,1615823987
lompoc,34.6391,-120.4579,44.6,81,75,8.05,US,1615823987
vincennes,48.85,2.4333,51.01,71,0,11.5,FR,1615823987
poum,-20.2333,164.0167,78.64,78,0,11.43,NC,1615823988
rorvik,64.8621,11.2373,39.2,70,75,8.05,NO,1615823988
scottsbluff,41.8666,-103.6672,28.99,86,90,6.91,US,1615823749
rawson,-43.3002,-65.1023,83.03,33,57,11.23,AR,1615823989
horsham,51.064,-0.3272,55.0,76,75,12.66,GB,1615823989
inongo,-1.95,18.2667,81.63,75,100,3.83,CD,1615823989
mumford,5.2618,-0.759,84.04,68,66,16.33,GH,1615823990
sambava,-14.2667,50.1667,79.18,86,100,11.16,MG,1615823990
dingle,10.9995,122.6711,75.83,93,59,1.54,PH,1615823990
larap,14.299,122.6504,75.49,93,58,3.76,PH,1615823991
praia da vitoria,14.9215,-23.5087,84.2,37,0,18.41,CV,1615823991
wyndham,37.6985,-77.6125,46.0,22,1,7.49,US,1615823991
zhezkazgan,47.8043,67.7144,7.43,84,100,6.67,KZ,1615823992
marsh harbour,53.6512,-1.8078,54.0,79,79,1.99,GB,1615823992
zima,53.9202,102.0442,8.08,87,100,0.65,RU,1615823992
luau,-10.7073,22.2247,72.39,89,100,2.89,AO,1615823993
chik,54.9928,82.4311,8.6,66,0,8.95,RU,1615823993
vestmanna,62.1564,-7.1664,41.0,87,75,8.05,FO,1615823993
nishihara,26.1842,127.7558,68.0,73,20,5.75,JP,1615823994
clyde river,41.3042,-82.9752,35.01,43,96,1.99,US,1615823994
lorengau,-2.0226,147.2712,82.51,67,88,6.06,PG,1615823994
north augusta,50.3333,3.6667,48.99,66,75,20.71,FR,1615823995
arraial do cabo,-22.8362,-46.646,82.4,57,40,4.61,BR,1615823995
touros,-5.1989,-35.4608,87.8,58,75,10.36,BR,1615823995
winneba,5.3511,-0.6231,87.8,58,20,16.11,GH,1615823996
paamiut,61.994,-49.6678,28.36,94,100,18.48,GL,1615823996
sal rei,32.5694,35.9119,66.2,63,0,9.22,JO,1615823996
portland,45.5234,-122.6762,37.0,80,20,1.97,US,1615823546
karatau,43.1667,70.4667,24.33,82,100,5.95,KZ,1615823997
north bend,50.3333,3.6667,48.99,66,75,20.71,FR,1615823995
fernie,49.5,-115.0687,41.0,86,100,1.14,CA,1615823997
minsk mazowiecki,53.9,27.5667,41.0,52,0,4.47,BY,1615823997
port augusta,-7.0349,29.7638,78.4,68,0,2.1,CD,1615823998
krasnoselkup,65.7,82.4667,17.53,95,100,8.16,RU,1615823998
abu samrah,24.6,72.7,65.89,20,0,4.85,IN,1615823998
silver city,34.5348,-93.5102,55.0,87,75,9.64,US,1615823999
ballina,-28.8667,153.5667,71.6,60,100,13.8,AU,1615823999
nanortalik,60.1432,-45.2371,32.92,86,100,6.35,GL,1615823999
inhambane,-23.865,35.3833,86.0,62,40,12.66,MZ,1615824000
angren,41.0167,70.1436,35.04,74,100,2.84,UZ,1615824000
mahebourg,-20.4081,57.7,78.8,89,40,8.05,MU,1615824000
sooke,48.3746,-123.7276,37.4,72,60,8.05,CA,1615824001
clarence town,42.9767,-78.592,28.0,39,20,8.05,US,1615824001
chicama,-7.8447,-79.1469,71.6,88,37,5.75,PE,1615824002
chupaca,-12.0667,-75.2833,57.0,71,92,5.44,PE,1615824004
basco,20.4487,121.9702,76.17,79,71,20.18,PH,1615824005
sao joao da barra,20.5113,76.2129,81.88,18,16,5.28,IN,1615824006
san pedro,13.3034,-4.8956,99.41,10,0,10.02,ML,1615823857
barrow,71.2906,-156.7887,-2.2,78,90,10.36,US,1615824006
bodden town,51.1954,-2.5161,54.0,71,40,18.41,GB,1615824007
praia,14.9215,-23.5087,84.2,37,0,18.41,CV,1615824008
talnakh,69.4865,88.3972,-31.2,98,7,0.4,RU,1615824008
garissa,-0.4536,39.6401,93.13,32,52,8.66,KE,1615824009
grand river south east,38.8755,-109.5012,39.99,69,1,6.91,US,1615824010
ponta do sol,38.7333,-28.2667,62.6,88,40,9.22,PT,1615824010
marsa matruh,35.8792,14.4953,59.0,55,20,26.46,MT,1615824011
buta,2.7858,24.73,86.65,51,28,2.3,CD,1615824011
laela,-8.5667,32.05,65.41,78,0,1.23,TZ,1615824011
margate,51.3813,1.3862,51.01,56,62,3.0,GB,1615824012
crateus,-5.1783,-40.6775,89.24,48,67,4.74,BR,1615824012
alexandria,31.2156,29.9553,64.4,68,40,5.75,EG,1615823714
vao,-22.6667,167.4833,75.88,81,1,13.13,NC,1615824013
manasa,24.4837,75.2687,80.96,15,14,5.28,IN,1615824013
sept-iles,50.2001,-66.3821,6.01,39,20,18.41,CA,1615823737
kulhudhuffushi,6.6221,73.07,83.48,71,37,8.05,MV,1615824013
sibu,2.3,111.8167,77.0,94,40,5.75,MY,1615824014
lusambo,-4.9667,23.45,86.63,56,62,1.99,CD,1615824014
trofors,65.5333,13.4063,37.4,65,40,4.61,NO,1615824014
chegdomyn,51.1167,133.0167,30.38,96,100,3.42,RU,1615824015
mananara,-16.1667,49.7667,76.68,91,15,4.92,MG,1615824015
ransang,8.9603,117.5828,79.14,84,8,1.12,PH,1615824015
espanola,35.9911,-106.0806,41.0,52,1,3.44,US,1615824016
akureyri,65.6835,-18.0878,26.6,86,0,4.61,IS,1615824016
gravdal,68.1214,13.5031,37.4,65,20,4.61,NO,1615824016
zhanakorgan,43.9098,67.2495,23.34,78,100,9.89,KZ,1615824017
mugur-aksy,50.35,90.5,8.17,68,79,3.91,RU,1615824017
naze,28.3667,129.4833,62.51,74,0,12.59,JP,1615824018
kieta,-6.2167,155.6333,76.78,76,59,3.44,PG,1615824018
west odessa,31.8024,-97.0917,68.0,34,1,11.5,US,1615824018
port elgin,-7.0349,29.7638,78.4,68,0,2.1,CD,1615823941
port blair,-7.0349,29.7638,78.4,68,0,2.1,CD,1615823972
fuzhou,26.0614,119.3061,57.2,94,0,0.76,CN,1615824019
bilibino,68.0546,166.4372,-21.69,99,96,1.52,RU,1615824019
bezhta,42.1338,46.1283,25.12,97,99,2.26,RU,1615824020
codrington,-38.2667,141.9667,58.55,82,75,8.5,AU,1615824020
gizo,-8.103,156.8419,81.66,70,98,7.54,SB,1615824020
ahipara,-35.1667,173.1667,60.94,93,90,3.13,NZ,1615824021
fortuna,40.5982,-124.1573,45.0,75,20,6.91,US,1615824021
virginia beach,37.5481,-77.4467,46.4,19,75,8.05,US,1615824021
iqaluit,63.7506,-68.5145,-20.0,63,40,18.41,CA,1615824022
beloha,-25.1667,45.05,77.52,75,0,16.98,MG,1615824022
tual,-5.6667,132.75,83.59,71,88,3.09,ID,1615824022
zaria,11.1113,7.7227,98.53,11,52,5.75,NG,1615824023
berlevag,70.8578,29.0864,30.2,64,75,18.41,NO,1615824023
saint-denis,48.9167,2.3333,48.99,71,0,11.5,FR,1615824023
kruisfontein,-34.0033,24.7314,70.0,82,44,11.01,ZA,1615824024
pombas,17.1503,-25.0201,78.8,47,20,21.85,CV,1615824024
wajir,1.7471,40.0573,96.8,34,75,17.27,KE,1615824024
cabedelo,-6.9811,-34.8339,87.8,66,40,13.8,BR,1615824025
tchibanga,-2.85,11.0333,72.5,96,100,3.22,GA,1615824025
petukhovo,55.0692,67.9019,16.11,86,95,12.68,RU,1615824025
port hedland,-7.0349,29.7638,78.4,68,0,2.1,CD,1615823941
luderitz,-26.6481,15.1594,71.71,62,0,29.1,NA,1615824026
heihe,50.2441,127.4902,23.0,68,40,20.13,CN,1615824026
bambous virieux,-20.2567,57.4061,80.01,89,40,8.05,MU,1615824026
whitianga,-36.8333,175.7,62.01,95,14,3.2,NZ,1615824027
lodja,-3.4833,23.4333,84.07,59,100,1.16,CD,1615824027
starychi,49.98,23.5585,39.2,75,90,8.95,UA,1615824027
severo-kurilsk,50.6789,156.125,36.1,98,100,20.92,RU,1615824028
lianzhou,24.7811,112.3825,69.48,87,43,3.09,CN,1615824028
sobolevo,54.4299,31.8996,33.93,84,100,4.27,RU,1615824028
piacabucu,-10.4056,-36.4344,85.35,59,26,11.88,BR,1615824029
kefamenanu,-9.4467,124.4781,71.85,93,88,1.25,ID,1615824029
gat,31.61,34.7642,66.0,100,0,7.74,IL,1615824029
kontagora,10.3999,5.4695,102.61,10,0,4.43,NG,1615824030
port hawkesbury,-7.0349,29.7638,78.4,68,0,2.1,CD,1615823941
hobyo,5.3505,48.5268,80.42,78,98,17.76,SO,1615824030
chokurdakh,70.6333,147.9167,-11.7,89,100,5.99,RU,1615824030
shingu,33.7333,135.9833,47.43,66,79,7.18,JP,1615824031
pacific grove,38.482,-90.7415,50.0,21,93,7.31,US,1615824031
butaritari,3.0707,172.7902,80.51,78,100,10.18,KI,1615824031
madaoua,14.073,5.96,102.11,10,15,8.48,NE,1615824032
egvekinot,66.3167,-179.1667,-0.98,95,99,4.07,RU,1615824032
solntsevo,51.4185,36.7499,39.2,75,90,8.95,RU,1615824032
mugumu,-1.85,34.7,67.82,67,74,3.31,TZ,1615824033
askim,59.5833,11.1629,48.2,43,0,9.22,NO,1615824033
moron,-34.6534,-58.6198,84.99,45,82,4.0,AR,1615824033
bocholt,51.8333,6.6,48.0,54,43,19.93,DE,1615824034
chunskiy,56.0815,99.6342,10.49,95,100,2.37,RU,1615824034
ixtapa,20.7,-105.2,62.6,82,1,4.61,MX,1615824034
moussoro,13.6408,16.4901,107.2,6,29,9.37,TD,1615824018
smidovich,48.6,133.8167,29.53,96,100,12.37,RU,1615824035
cabo san lucas,-8.2833,-35.0333,82.4,57,40,13.8,BR,1615824035
vvedenskoye,55.4753,65.0847,17.33,84,91,11.23,RU,1615824035
inhapim,-19.5492,-42.12,78.49,75,72,5.06,BR,1615824036
padang,-0.9492,100.3543,77.0,100,75,6.91,ID,1615824036
kentau,43.5206,68.5094,22.3,74,100,9.15,KZ,1615824036
husavik,66.0449,-17.3389,26.6,86,0,4.61,IS,1615824037
lannion,48.75,-3.4167,53.6,82,90,11.5,FR,1615824037
guerrero negro,17.6667,-100.0,81.9,39,0,2.77,MX,1615824037
samaipata,-18.15,-63.8667,66.7,77,99,2.46,BO,1615824038
santa cruz,17.486,120.4348,78.21,80,96,6.38,PH,1615824038
letka,59.6011,49.4232,33.04,96,100,10.8,RU,1615824038
pimentel,-6.8367,-79.9342,78.8,65,0,6.91,PE,1615824039
sirnak,37.5228,42.4594,40.66,86,100,6.35,TR,1615824039
tura,25.5198,90.2201,71.22,31,0,3.15,IN,1615824039
georgetown,5.4112,100.3354,86.0,74,20,3.44,MY,1615824040
labuhan,-6.8844,112.2051,79.21,81,46,2.59,ID,1615824040
rocha,-34.4833,-54.3333,80.4,52,0,8.5,UY,1615824040
lichinga,-13.3128,35.2406,64.4,94,75,5.75,MZ,1615824041
ponorogo,-7.8685,111.462,75.81,88,100,3.44,ID,1615824041
meulaboh,4.1363,96.1285,79.97,79,100,1.23,ID,1615824041
ouadda,8.0777,22.4007,92.48,26,100,5.37,CF,1615824042
aginskoye,51.1,114.53,7.21,85,0,8.68,RU,1615824042
hervey bay,33.4982,-93.7771,57.0,88,40,9.22,US,1615824042
balakhta,55.38,91.6,10.67,89,100,3.6,RU,1615824043
belyy yar,55.8402,32.9419,30.76,91,78,5.21,RU,1615824043
lagoa,39.05,-27.9833,60.26,86,16,8.95,PT,1615824043
ust-ishim,57.6935,71.1665,18.43,93,100,6.85,RU,1615824043
charyshskoye,51.3978,83.5598,8.51,95,100,0.92,RU,1615824044
jalu,29.0331,21.5482,67.64,37,1,20.51,LY,1615824044
kavaratti,10.5669,72.642,83.73,69,77,9.78,IN,1615824045
araouane,18.9048,-3.5265,91.8,12,0,7.65,ML,1615824045
mareeba,-17.0,145.4333,77.0,83,40,4.61,AU,1615824045
zhigansk,66.7697,123.3711,-11.96,97,100,11.43,RU,1615824046
osakarovka,50.565,72.5692,-4.92,94,0,3.33,KZ,1615824046
hasaki,35.7333,140.8333,39.2,87,40,2.3,JP,1615824046
chiredzi,-21.05,31.6667,77.54,56,0,5.44,ZW,1615824047
zheleznodorozhnyy,55.7503,38.0042,36.0,93,90,8.95,RU,1615824047
port hardy,-7.0349,29.7638,78.4,68,0,2.1,CD,1615823963
trebinje,42.7119,18.3442,48.2,46,20,16.11,BA,1615824047
upernavik,72.7868,-56.1549,-5.06,94,89,11.81,GL,1615824048
taozhuang,34.85,117.3333,55.71,59,68,10.76,CN,1615824048
harper,4.375,-7.7169,83.08,72,96,10.11,LR,1615824048
merauke,-8.4667,140.3333,80.64,76,100,2.82,ID,1615824049
corner brook,33.8004,-86.9422,64.0,86,100,3.0,US,1615824049
birao,10.2849,22.7882,102.24,12,56,4.25,CF,1615824049
fort-shevchenko,44.5086,50.263,37.58,49,12,19.19,KZ,1615824050
vardo,70.3705,31.1107,32.0,74,75,18.41,NO,1615824050
akyab,20.15,92.9,76.87,70,0,8.14,MM,1615824050
sibolga,1.7427,98.7792,78.19,88,100,3.44,ID,1615824051
chimbote,-9.0853,-78.5783,79.12,63,62,10.89,PE,1615824051
flin flon,48.4982,6.6557,48.2,57,40,16.11,FR,1615824052
corrales,35.2378,-106.6067,46.0,52,44,4.0,US,1615823789
sao filipe,20.5113,76.2129,81.88,18,16,5.28,IN,1615824052
fredericton,45.9454,-66.6656,10.4,40,75,16.11,CA,1615823828
port-gentil,-0.7193,8.7815,86.0,74,40,5.75,GA,1615824053
formosa do rio preto,-26.1775,-58.1781,93.2,43,0,5.75,AR,1615823790
pevek,69.7008,170.3133,-5.85,97,100,9.48,RU,1615824053
pierre,44.3683,-100.351,34.0,86,90,14.97,US,1615824005
buraydah,26.326,43.975,86.0,30,40,5.75,SA,1615824003
sant feliu de guixols,47.45,24.9,34.0,87,100,1.99,RO,1615823962
sagone,42.1155,8.6969,55.4,62,75,11.5,FR,1615824054
kang,-23.6752,22.7876,83.21,32,22,3.89,BW,1615824054
atar,20.5169,-13.0499,93.92,8,0,6.35,MR,1615824054
narsaq,60.9167,-46.05,41.0,33,75,25.32,GL,1615824055
yulara,-25.2406,130.9889,62.6,29,0,5.75,AU,1615824055
geraldton,-28.7667,114.6,82.4,23,100,12.66,AU,1615824056
xian,34.2583,108.9286,59.0,88,26,6.71,CN,1615824056
houma,29.5958,-90.7195,78.01,83,75,8.05,US,1615824056
keflavik,64.0049,-22.5624,42.8,87,75,37.98,IS,1615824057
northam,51.0333,-4.2167,51.01,91,44,7.0,GB,1615824057
moose factory,43.6558,-110.7183,33.01,80,1,6.91,US,1615824057
lufilufi,-13.8745,-171.5986,73.4,100,20,8.46,WS,1615823860
atambua,-9.1061,124.8925,74.25,86,82,2.37,ID,1615824058
jaisalmer,26.9147,70.9181,77.77,18,5,3.85,IN,1615824058
puerto del rosario,36.5939,-6.233,73.4,40,0,3.44,ES,1615823933
ondjiva,-17.0667,15.7333,86.0,48,40,2.3,AO,1615824058
yakeshi,49.2833,120.7333,6.17,79,34,14.34,CN,1615824059
carnarvon,-24.8667,113.6333,78.8,73,90,5.75,AU,1615824059
salihorsk,52.7876,27.5415,35.87,81,100,4.99,BY,1615824059
guanica,17.9716,-66.908,84.99,49,21,8.01,PR,1615824060
ratnagiri,16.9833,73.3,78.42,70,0,6.71,IN,1615824060
acajutla,13.5928,-89.8275,80.01,65,20,6.71,SV,1615824060
